simulation_number,year,DoY,LAIsunlit,LAIshaded,aPARtot,aPARsun,aPARsha,aPARCabtot,aPARCabsun,aPARCabsha,aPARCartot,aPARCarsun,aPARCarsha,aPARtotE,aPARsunE,aPARshaE,aPARCabtotE,aPARCabsunE,aPARCabshaE,aPARCartotE,aPARCarsunE,aPARCarshaE
#,,,m2m-2,m2m-2,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2,W m-2
1,0,0,1.247602e+00,3.352398e+00,6.176441e+02,5.086568e+02,1.089873e+02,4.500320e+02,3.692212e+02,8.081078e+01,1.287164e+02,1.031081e+02,2.560831e+01,1.353360e+02,1.108816e+02,2.445440e+01,5.495035e+01,5.493369e+01,1.665895e-02,1.728542e+01,1.727897e+01,6.450092e-03
2,0,0,1.017901e+00,2.752099e+00,1.040103e+03,8.404097e+02,1.996928e+02,9.875118e+02,7.912635e+02,1.962484e+02,8.399684e+01,6.514179e+01,1.885505e+01,2.277094e+02,1.827825e+02,4.492689e+01,1.231303e+02,1.230886e+02,4.173910e-02,1.113304e+01,1.112836e+01,4.678825e-03
3,0,0,2.031783e+00,4.728217e+00,5.042872e+01,4.304194e+01,7.386782e+00,3.492348e+01,2.931003e+01,5.613449e+00,1.277541e+01,1.078266e+01,1.992743e+00,1.105298e+01,9.409031e+00,1.643945e+00,4.035116e+00,4.033999e+00,1.116889e-03,1.688376e+00,1.687874e+00,5.028302e-04
4,0,0,1.690322e+00,3.249678e+00,5.029180e+02,4.242188e+02,7.869922e+01,3.928523e+02,3.274592e+02,6.539308e+01,6.737548e+01,5.568527e+01,1.169020e+01,1.101766e+02,9.259276e+01,1.758386e+01,4.665592e+01,4.664240e+01,1.352067e-02,8.783507e+00,8.780568e+00,2.939866e-03
5,0,0,1.437841e+00,4.272159e+00,1.415643e+03,1.153973e+03,2.616693e+02,9.361610e+02,7.528287e+02,1.833323e+02,2.933608e+02,2.363541e+02,5.700668e+01,3.104961e+02,2.523451e+02,5.815102e+01,1.076294e+02,1.075923e+02,3.705702e-02,3.881595e+01,3.880155e+01,1.439958e-02
6,0,0,5.805757e-01,1.734243e-01,3.530448e+02,3.164060e+02,3.663876e+01,2.610902e+02,2.345671e+02,2.652312e+01,8.221180e+01,7.299179e+01,9.220011e+00,7.741397e+01,6.925842e+01,8.155544e+00,2.752252e+01,2.751704e+01,5.478133e-03,9.467030e+00,9.464704e+00,2.325597e-03
7,0,0,1.283995e+00,3.896005e+00,1.554838e+03,1.284600e+03,2.702386e+02,1.161138e+03,9.511528e+02,2.099855e+02,3.384706e+02,2.717827e+02,6.668786e+01,3.405556e+02,2.798873e+02,6.066824e+01,1.417641e+02,1.417213e+02,4.281916e-02,4.574647e+01,4.572966e+01,1.680944e-02
8,0,0,1.187558e+00,5.542442e+00,1.100031e+03,8.506781e+02,2.493532e+02,8.830325e+02,6.652326e+02,2.177998e+02,2.563296e+02,1.959264e+02,6.040319e+01,2.411509e+02,1.859444e+02,5.520657e+01,9.686932e+01,9.682524e+01,4.408213e-02,3.268931e+01,3.267433e+01,1.498239e-02
9,0,0,1.605489e+00,4.994511e+00,1.940010e+02,1.646546e+02,2.934631e+01,1.533771e+02,1.292059e+02,2.417112e+01,3.133152e+01,2.587318e+01,5.458345e+00,4.247801e+01,3.587969e+01,6.598323e+00,1.913760e+01,1.913258e+01,5.015545e-03,4.238318e+00,4.236945e+00,1.373336e-03
10,0,0,1.429049e+00,5.110951e+00,1.151470e+03,9.629927e+02,1.884769e+02,8.727868e+02,7.239673e+02,1.488195e+02,1.387019e+02,1.126473e+02,2.605465e+01,2.521278e+02,2.097964e+02,4.233140e+01,1.087386e+02,1.087075e+02,3.111113e-02,1.877271e+01,1.876614e+01,6.575016e-03
11,0,0,1.202863e+00,3.067137e+00,3.352770e+02,2.643021e+02,7.097494e+01,1.855732e+02,1.457889e+02,3.978426e+01,5.315107e+01,4.152876e+01,1.162232e+01,7.362543e+01,5.789500e+01,1.573043e+01,2.104386e+01,2.103564e+01,8.221219e-03,6.878449e+00,6.875497e+00,2.952188e-03
12,0,0,1.129282e+00,3.050718e+00,6.697063e+02,5.420869e+02,1.276193e+02,4.567965e+02,3.652436e+02,9.155287e+01,1.844566e+02,1.460851e+02,3.837153e+01,1.467521e+02,1.182327e+02,2.851942e+01,5.393225e+01,5.391397e+01,1.828061e-02,2.493444e+01,2.492474e+01,9.697592e-03
13,0,0,1.415158e+00,2.244842e+00,1.429613e+03,1.172680e+03,2.569332e+02,8.956609e+02,7.277984e+02,1.678625e+02,3.950891e+02,3.215729e+02,7.351623e+01,3.134619e+02,2.564826e+02,5.697929e+01,1.009334e+02,1.008998e+02,3.365414e-02,5.113732e+01,5.111876e+01,1.855829e-02
14,0,0,1.165237e+00,4.884763e+00,1.248382e+02,9.537268e+01,2.946550e+01,4.384879e+01,3.269906e+01,1.114973e+01,3.200620e+01,2.505366e+01,6.952542e+00,2.742485e+01,2.099543e+01,6.429427e+00,4.599025e+00,4.596849e+00,2.175391e-03,4.300768e+00,4.298992e+00,1.776771e-03
15,0,0,1.105143e+00,5.834857e+00,9.923708e+02,8.079594e+02,1.844114e+02,7.846025e+02,6.358141e+02,1.487884e+02,5.457612e+01,4.277775e+01,1.179837e+01,2.172775e+02,1.757861e+02,4.149136e+01,9.939194e+01,9.936016e+01,3.177693e-02,7.393298e+00,7.390331e+00,2.966553e-03
16,0,0,2.674286e+00,2.065714e+00,1.030517e+03,8.963256e+02,1.341916e+02,5.591234e+02,4.808691e+02,7.825426e+01,2.419898e+02,2.117697e+02,3.022007e+01,2.263760e+02,1.969514e+02,2.942459e+01,5.545829e+01,5.544272e+01,1.556153e-02,2.750248e+01,2.749481e+01,7.663779e-03
17,0,0,1.156052e+00,1.963948e+00,2.731231e+02,2.188164e+02,5.430665e+01,2.135374e+02,1.697261e+02,4.381127e+01,4.750962e+01,3.733108e+01,1.017853e+01,5.991509e+01,4.782142e+01,1.209367e+01,2.427269e+01,2.426361e+01,9.081282e-03,6.020291e+00,6.017739e+00,2.552475e-03
18,0,0,1.603615e+00,3.636385e+00,1.605965e+03,1.357565e+03,2.484000e+02,1.087452e+03,9.158567e+02,1.715949e+02,3.100720e+02,2.561175e+02,5.395455e+01,3.517551e+02,2.960934e+02,5.566164e+01,1.331594e+02,1.331241e+02,3.532784e-02,4.143211e+01,4.141848e+01,1.363371e-02
19,0,0,1.158812e+00,5.141188e+00,6.967825e+02,5.185208e+02,1.782617e+02,4.661816e+02,3.396754e+02,1.265062e+02,8.504387e+01,6.378570e+01,2.125817e+01,1.531430e+02,1.139343e+02,3.920873e+01,4.810474e+01,4.807892e+01,2.582494e-02,1.049281e+01,1.048743e+01,5.378545e-03
20,0,0,7.277086e-01,3.722914e-01,1.805214e+02,1.561448e+02,2.437663e+01,1.199467e+02,1.041388e+02,1.580785e+01,5.029532e+01,4.293269e+01,7.362634e+00,3.957893e+01,3.414569e+01,5.433235e+00,1.342668e+01,1.342346e+01,3.215541e-03,6.235072e+00,6.233215e+00,1.857250e-03
21,0,0,1.411001e+00,2.328999e+00,4.113851e+02,3.421845e+02,6.920059e+01,3.694628e+02,3.053175e+02,6.414532e+01,8.247147e+00,6.649410e+00,1.597737e+00,9.010966e+01,7.460711e+01,1.550255e+01,4.447888e+01,4.446513e+01,1.374798e-02,1.043637e+00,1.043240e+00,3.973034e-04
22,0,0,9.024882e-01,9.675118e-01,8.188485e+00,6.814895e+00,1.373590e+00,7.041438e+00,5.854714e+00,1.186724e+00,1.693791e+00,1.374344e+00,3.194471e-01,1.793079e+00,1.485352e+00,3.077271e-01,8.461200e-01,8.458734e-01,2.466367e-04,2.218184e-01,2.217385e-01,7.994861e-05
23,0,0,1.334993e+00,3.365007e+00,1.445735e+03,1.199164e+03,2.465708e+02,1.255076e+03,1.033891e+03,2.211843e+02,1.061096e+02,8.520092e+01,2.090864e+01,3.165818e+02,2.611651e+02,5.541665e+01,1.559714e+02,1.559244e+02,4.695182e-02,1.411608e+01,1.411084e+01,5.240174e-03
24,0,0,1.375481e+00,1.134519e+00,1.044847e+03,8.892740e+02,1.555731e+02,8.587811e+02,7.296832e+02,1.290978e+02,1.035033e+02,8.647535e+01,1.702793e+01,2.290244e+02,1.942893e+02,3.473513e+01,9.742647e+01,9.739913e+01,2.733734e-02,1.245586e+01,1.245159e+01,4.270566e-03
25,0,0,1.343318e+00,5.326682e+00,1.555882e+03,1.272865e+03,2.830177e+02,1.469857e+03,1.183948e+03,2.859089e+02,4.089930e+01,3.213633e+01,8.762965e+00,3.406595e+02,2.771748e+02,6.348468e+01,1.788557e+02,1.787953e+02,6.044411e-02,5.276259e+00,5.274093e+00,2.166428e-03
26,0,0,1.392336e+00,3.597664e+00,1.296371e+03,1.080096e+03,2.162750e+02,1.059964e+03,8.743350e+02,1.856294e+02,2.130223e+02,1.725617e+02,4.046057e+01,2.838933e+02,2.353450e+02,4.854827e+01,1.298300e+02,1.297916e+02,3.843048e-02,2.847239e+01,2.846225e+01,1.014151e-02
27,0,0,1.707628e+00,4.472372e+00,1.073181e+03,9.076420e+02,1.655389e+02,1.045501e+03,8.727804e+02,1.727206e+02,2.724581e+01,2.228155e+01,4.964258e+00,2.349941e+02,1.978181e+02,3.717598e+01,1.281158e+02,1.280790e+02,3.671144e-02,3.519289e+00,3.518061e+00,1.227800e-03
28,0,0,1.800958e+00,3.849042e+00,8.080073e+02,6.928847e+02,1.151226e+02,6.294946e+02,5.348846e+02,9.461007e+01,1.514503e+02,1.269246e+02,2.452565e+01,1.769840e+02,1.511498e+02,2.583423e+01,7.655588e+01,7.653648e+01,1.939893e-02,2.014748e+01,2.014130e+01,6.182493e-03
29,0,0,1.103759e+00,4.406241e+00,1.106280e+02,8.864435e+01,2.198364e+01,1.020099e+02,8.047105e+01,2.153890e+01,3.695100e-01,2.837395e-01,8.577046e-02,2.422452e+01,1.929006e+01,4.934465e+00,1.245173e+01,1.244714e+01,4.584858e-03,4.814779e-02,4.812641e-02,2.138666e-05
30,0,0,9.394074e-01,4.105926e-01,6.700904e+02,5.792440e+02,9.084641e+01,4.645768e+02,4.016412e+02,6.293558e+01,2.059677e+02,1.768957e+02,2.907202e+01,1.475700e+02,1.273594e+02,2.021058e+01,4.542014e+01,4.540737e+01,1.277226e-02,2.270631e+01,2.269898e+01,7.322083e-03
31,0,0,1.267654e+00,4.652346e+00,6.632468e+02,5.494852e+02,1.137616e+02,5.129677e+02,4.223931e+02,9.057461e+01,1.125787e+02,9.033635e+01,2.224231e+01,1.452261e+02,1.196386e+02,2.558750e+01,6.411078e+01,6.409197e+01,1.881102e-02,1.530105e+01,1.529545e+01,5.597780e-03
32,0,0,9.880887e-01,5.319113e-01,1.066293e+03,9.197751e+02,1.465177e+02,9.155359e+02,7.897770e+02,1.257589e+02,6.835198e+01,5.803256e+01,1.031942e+01,2.335895e+02,2.009318e+02,3.265776e+01,1.012052e+02,1.011782e+02,2.692806e-02,7.958407e+00,7.955826e+00,2.581506e-03
33,0,0,1.593333e+00,2.776667e+00,4.453573e+02,3.768858e+02,6.847148e+01,4.081204e+02,3.423970e+02,6.572343e+01,1.243319e+01,1.023476e+01,2.198433e+00,9.755079e+01,8.218776e+01,1.536304e+01,4.961418e+01,4.960017e+01,1.400866e-02,1.606168e+00,1.605619e+00,5.490101e-04
34,0,0,1.038431e+00,5.201569e+00,1.384676e+03,1.116563e+03,2.681129e+02,8.319679e+02,6.715041e+02,1.604638e+02,3.222289e+02,2.513277e+02,7.090115e+01,3.033335e+02,2.431528e+02,6.018068e+01,1.028643e+02,1.028316e+02,3.269381e-02,4.408806e+01,4.407005e+01,1.801149e-02
35,0,0,1.185510e+00,5.724490e+00,2.252465e+02,1.848677e+02,4.037886e+01,1.726251e+02,1.402498e+02,3.237526e+01,4.348688e+01,3.452581e+01,8.961072e+00,4.931931e+01,4.024003e+01,9.079273e+00,2.138913e+01,2.138248e+01,6.648462e-03,5.926416e+00,5.924156e+00,2.259698e-03
36,0,0,1.027985e+00,8.020153e-01,1.071546e+03,9.061910e+02,1.653552e+02,8.337027e+02,7.048049e+02,1.288978e+02,2.347500e+02,1.948294e+02,3.992069e+01,2.347352e+02,1.978163e+02,3.691890e+01,9.547170e+01,9.544513e+01,2.656400e-02,2.921460e+01,2.920457e+01,1.003018e-02
37,0,0,6.009244e-01,3.430756e-01,6.464301e+02,5.595225e+02,8.690756e+01,6.127920e+02,5.305328e+02,8.225917e+01,3.249130e+01,2.758482e+01,4.906480e+00,1.412074e+02,1.218131e+02,1.939426e+01,7.544180e+01,7.542414e+01,1.766507e-02,4.280621e+00,4.279398e+00,1.223060e-03
38,0,0,1.045267e+00,1.954733e+00,1.217499e+03,9.956157e+02,2.218829e+02,9.089575e+02,7.395299e+02,1.694276e+02,2.613416e+02,2.075949e+02,5.374672e+01,2.665938e+02,2.168480e+02,4.974578e+01,1.109141e+02,1.108793e+02,3.475273e-02,3.513425e+01,3.512070e+01,1.355295e-02
